jaar,code_oud,gemeentenaam_oud,code_nieuw,gemeente_naam_nieuw
2018,0140,Littenseradiel,1949,Waadhoeke
2018,0140,Littenseradiel,0080,Leeuwarden
2018,0140,Littenseradiel,1900,Súdwest-Fryslân
2014,0055,Boarnsterhim,1921,De Friese Meren
2014,0055,Boarnsterhim,0080,Leeuwarden
2014,0055,Boarnsterhim,0074,Heerenveen
